Latitude (decimal degrees):	44.852
Longitude (decimal degrees):	11.207
Elevation (m):	14
Radiation database:	PVGIS-SARAH3


Slope: 39 deg. (optimum)
Azimuth: 0 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	6.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,0.0,8.45,1.17,0.0
20230101:0110,0.0,0.0,0.0,0.0,0.0,8.2,0.76,0.0
20230101:0210,0.0,0.0,0.0,0.0,0.0,8.49,0.41,0.0
20230101:0310,0.0,0.0,0.0,0.0,0.0,8.1,0.76,0.0
20230101:0410,0.0,0.0,0.0,0.0,0.0,7.52,0.83,0.0
20230101:0510,0.0,0.0,0.0,0.0,0.0,7.28,0.83,0.0
20230101:0610,0.0,0.0,0.0,0.0,0.0,7.72,0.21,0.0
20230101:0710,0.0,0.0,3.55,0.09,1.75,6.73,1.17,0.0
20230101:0810,828.42,89.85,83.01,2.15,9.75,7.53,1.17,0.0
20230101:0910,1299.78,122.12,140.54,3.84,16.12,9.22,1.45,0.0
20230101:1010,1146.3,74.43,160.05,4.29,20.38,10.52,1.45,0.0
20230101:1110,984.12,46.53,158.38,4.18,22.11,11.95,1.38,0.0
20230101:1210,1044.24,59.2,157.96,4.2,21.11,12.6,1.24,0.0
20230101:1310,645.96,25.59,115.46,3.0,17.49,13.06,0.97,0.0
20230101:1410,787.62,75.04,93.84,2.46,11.63,13.21,0.9,0.0
20230101:1510,376.68,63.53,27.92,0.74,4.03,12.78,0.69,0.0
20230101:1610,0.0,0.0,0.0,0.0,0.0,11.95,0.62,0.0
20230101:1710,0.0,0.0,0.0,0.0,0.0,11.41,0.34,0.0
20230101:1810,0.0,0.0,0.0,0.0,0.0,10.75,0.28,0.0
20230101:1910,0.0,0.0,0.0,0.0,0.0,9.1,0.69,0.0
20230101:2010,0.0,0.0,0.0,0.0,0.0,9.14,0.48,0.0
20230101:2110,0.0,0.0,0.0,0.0,0.0,8.69,0.62,0.0
20230101:2210,0.0,0.0,0.0,0.0,0.0,8.49,0.62,0.0
20230101:2310,0.0,0.0,0.0,0.0,0.0,8.12,0.62,0.0
20230102:0010,0.0,0.0,0.0,0.0,0.0,7.9,0.55,0.0
