Datetime,Meter_0391,Meter_2191,Total,PV_kWh,Autocons_kWh,Export_KWh,NetGrid_KWh,Band,NetGrid_kWh
2024-02-01 00:00:00+01:00,0.169,0.075,0.244,0.0,0.0,0.0,0.244,F3,0.244
2024-02-01 01:00:00+01:00,0.086,0.059,0.145,0.0,0.0,0.0,0.145,F3,0.145
2024-02-01 02:00:00+01:00,0.083,0.05,0.133,0.0,0.0,0.0,0.133,F3,0.133
2024-02-01 03:00:00+01:00,0.088,0.054,0.142,0.0,0.0,0.0,0.142,F3,0.142
2024-02-01 04:00:00+01:00,0.129,0.051,0.18,0.0,0.0,0.0,0.18,F3,0.18
2024-02-01 05:00:00+01:00,0.18,0.059,0.239,0.0,0.0,0.0,0.239,F3,0.239
2024-02-01 06:00:00+01:00,0.254,0.097,0.351,0.0,0.0,0.0,0.351,F3,0.351
2024-02-01 07:00:00+01:00,0.223,0.094,0.317,0.8340599999999999,0.317,0.5170599999999999,0.0,F2,0.0
2024-02-01 08:00:00+01:00,0.142,0.09,0.232,2.29074,0.232,2.05874,0.0,F1,0.0
2024-02-01 09:00:00+01:00,0.081,0.071,0.152,3.02604,0.152,2.87404,0.0,F1,0.0
2024-02-01 10:00:00+01:00,0.092,0.08,0.172,3.21702,0.172,3.04502,0.0,F1,0.0
2024-02-01 11:00:00+01:00,0.122,0.082,0.204,4.01958,0.204,3.8155799999999993,0.0,F1,0.0
2024-02-01 12:00:00+01:00,0.122,0.085,0.207,3.88392,0.207,3.67692,0.0,F1,0.0
2024-02-01 13:00:00+01:00,0.86,0.112,0.972,3.54756,0.972,2.57556,0.0,F1,0.0
2024-02-01 14:00:00+01:00,0.547,0.138,0.685,2.77872,0.685,2.09372,0.0,F1,0.0
2024-02-01 15:00:00+01:00,0.934,0.061,0.995,1.54554,0.995,0.5505399999999999,0.0,F1,0.0
2024-02-01 16:00:00+01:00,0.082,0.053,0.135,0.0,0.0,0.0,0.135,F1,0.135
2024-02-01 17:00:00+01:00,0.094,0.17,0.264,0.0,0.0,0.0,0.264,F1,0.264
2024-02-01 18:00:00+01:00,0.736,0.088,0.824,0.0,0.0,0.0,0.824,F1,0.824
2024-02-01 19:00:00+01:00,0.805,0.074,0.879,0.0,0.0,0.0,0.879,F2,0.879
2024-02-01 20:00:00+01:00,0.384,0.333,0.717,0.0,0.0,0.0,0.717,F2,0.717
2024-02-01 21:00:00+01:00,0.355,0.088,0.443,0.0,0.0,0.0,0.443,F2,0.443
2024-02-01 22:00:00+01:00,0.288,0.046,0.334,0.0,0.0,0.0,0.334,F2,0.334
2024-02-01 23:00:00+01:00,0.237,0.081,0.318,0.0,0.0,0.0,0.318,F3,0.318
2024-02-02 00:00:00+01:00,0.182,0.068,0.25,0.0,0.0,0.0,0.25,F3,0.25
2024-02-02 01:00:00+01:00,0.14,0.059,0.199,0.0,0.0,0.0,0.199,F3,0.199
2024-02-02 02:00:00+01:00,0.093,0.062,0.155,0.0,0.0,0.0,0.155,F3,0.155
2024-02-02 03:00:00+01:00,0.089,0.052,0.141,0.0,0.0,0.0,0.141,F3,0.141
2024-02-02 04:00:00+01:00,0.081,0.049,0.13,0.0,0.0,0.0,0.13,F3,0.13
2024-02-02 05:00:00+01:00,0.169,0.058,0.227,0.0,0.0,0.0,0.227,F3,0.227
2024-02-02 06:00:00+01:00,0.254,0.085,0.339,0.0,0.0,0.0,0.339,F3,0.339
2024-02-02 07:00:00+01:00,0.306,0.086,0.392,0.47454,0.392,0.08254,0.0,F2,0.0
2024-02-02 08:00:00+01:00,0.09,0.063,0.153,2.41224,0.153,2.25924,0.0,F1,0.0
2024-02-02 09:00:00+01:00,0.079,0.163,0.242,3.36618,0.242,3.12418,0.0,F1,0.0
2024-02-02 10:00:00+01:00,0.087,0.083,0.17,3.94698,0.17,3.77698,0.0,F1,0.0
2024-02-02 11:00:00+01:00,0.096,0.08,0.176,4.10694,0.176,3.93094,0.0,F1,0.0
2024-02-02 12:00:00+01:00,0.181,0.058,0.239,3.94272,0.239,3.70372,0.0,F1,0.0
2024-02-02 13:00:00+01:00,0.244,0.069,0.313,3.57432,0.313,3.26132,0.0,F1,0.0
2024-02-02 14:00:00+01:00,0.213,0.142,0.355,2.8128,0.355,2.4578,0.0,F1,0.0
2024-02-02 15:00:00+01:00,0.126,0.072,0.198,1.65882,0.198,1.46082,0.0,F1,0.0
2024-02-02 16:00:00+01:00,0.25,0.082,0.332,0.0,0.0,0.0,0.332,F1,0.332
2024-02-02 17:00:00+01:00,0.623,0.082,0.705,0.0,0.0,0.0,0.705,F1,0.705
2024-02-02 18:00:00+01:00,0.483,0.118,0.601,0.0,0.0,0.0,0.601,F1,0.601
2024-02-02 19:00:00+01:00,0.191,0.658,0.849,0.0,0.0,0.0,0.849,F2,0.849
2024-02-02 20:00:00+01:00,0.183,0.072,0.255,0.0,0.0,0.0,0.255,F2,0.255
2024-02-02 21:00:00+01:00,0.253,0.059,0.312,0.0,0.0,0.0,0.312,F2,0.312
2024-02-02 22:00:00+01:00,0.252,0.119,0.371,0.0,0.0,0.0,0.371,F2,0.371
2024-02-02 23:00:00+01:00,0.192,0.108,0.3,0.0,0.0,0.0,0.3,F3,0.3
2024-02-03 00:00:00+01:00,0.109,0.123,0.232,0.0,0.0,0.0,0.232,F3,0.232
2024-02-03 01:00:00+01:00,0.085,0.084,0.169,0.0,0.0,0.0,0.169,F3,0.169
2024-02-03 02:00:00+01:00,0.1,0.063,0.163,0.0,0.0,0.0,0.163,F3,0.163
2024-02-03 03:00:00+01:00,0.185,0.062,0.247,0.0,0.0,0.0,0.247,F3,0.247
2024-02-03 04:00:00+01:00,0.178,0.069,0.247,0.0,0.0,0.0,0.247,F3,0.247
